"","name","ID","speed","stepphase","direction","foot","body_angle","step_length_F","step_length_H","midwrist_F","midwrist_H","limbROM_F","limbROM_H","spineROM_F","spineROM_H","CROM_F","CROM_H","diag"
"2","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",384.525,1,"b'UP'","FL",NA,NA,82.8146905329528,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",752.84,2,"b'UP'","FL",NA,5.90814980506482,82.8146905329528,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",NA,3,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",729.16,4,"b'UP'","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",381.92875,5,"b'UP'","FL",NA,4.05984654196823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",101.363333333333,6,"b'UP'","FL",NA,8.48076520618635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",80.725,7,"b'UP'","FL",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",73.9066666666667,8,"b'UP'","FL",NA,1.59211561136172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",91.092,9,"b'UP'","FL",NA,12.1995676951441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",77.455,10,"b'UP'","FL",NA,4.04332699317263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",133.3075,11,"b'UP'","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",633.506666666667,12,"b'UP'","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",706.885,13,"b'UP'","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1720.815,14,"b'UP'","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1842.8975,15,"b'UP'","FL",NA,NA,5.36941149532412,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1746.01,16,"b'UP'","FL",13.3611376372599,NA,19.7281794432059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",NA,17,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",NA,18,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",803.018571428571,19,"b'UP'","FL",10.6879664642343,NA,150.782793626203,NA,NA,NA,NA,NA,NA,NA,69.1638670372675,NA
"21","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1100.28391304348,20,"b'UP'","FL",5.88935835993717,NA,137.836917597354,NA,NA,NA,81.34122614018,NA,5.47945217022063,NA,-20.892434898144,NA
"22","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",NA,21,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1138.795,22,"b'UP'","FL",25.0619621389467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1215.85125,23,"b'UP'","FL",26.1997202168534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1274.12125,24,"b'UP'","FL",11.2149773013513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",619.491666666667,25,"b'UP'","FL",9.67505801109093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",896.632,26,"b'UP'","FL",7.31742303461503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1441.715,27,"b'UP'","FL",3.50635031067921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",NA,28,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",NA,29,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1238.605,30,"b'UP'","FL",26.4966678852925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",1547.90214285714,31,"b'UP'","FL",16.6538574157089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",NA,32,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000.csv","Ples203",NA,33,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
