,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,,514.11,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,1.4045258459381211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,514.11,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,1.4045258459381211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,644.74,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,1339.84,b'stride0001',b'stride0001',b'stride0001',b'stride0002',0.0,268.5455492804566,8.495831058266758,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,1615.54,b'stride0001',b'stance0001',b'stride0001',b'stride0002',,268.5455492804566,8.495831058266758,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,,1557.46,b'stride0001',b'stride0002',b'stride0001',b'stride0002',189.40935990949268,268.5455492804566,8.495831058266758,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UP,,854.39,b'stride0001',b'stride0002',b'stride0001',b'stride0002',189.40935990949268,268.5455492804566,8.495831058266758,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UP,,1065.7,b'stride0001',b'stride0002',b'stance0001',b'stride0002',189.40935990949268,268.5455492804566,,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UP,,1747.59,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UP,,1060.6,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UP,,1873.48,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UP,,1102.26,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UP,,2323.16,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UP,,1491.28,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,UP,,11348.725,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UP,4.958131492915336,1116.05,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,114.8802031716587,141.6767497171678,,160.80765276033705,,72.67201105968452,,75.00132777621785,,,,,,,,,,,,
16,UP,5.464360173844191,1673.7649999999999,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,136.27874678299864,161.04860869532666,,151.62492916023086,,78.49697020610736,,58.12307273928887,,,,,,,,,,,,
17,UP,2.931331377646878,2700.835,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,127.08248281991713,167.84546238368162,,154.3301969998923,163.21902450927732,89.0708031278782,,59.857207472918276,,,,,,,,,,,,
18,UP,2.6859175381119083,2107.455,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,130.97462267887357,168.74429596056257,,149.58982676004993,,101.13922847111562,,88.10619067651925,,,,,,,,,,,,
19,UP,4.367987838381782,1744.9650000000001,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,133.62449336835377,177.95739164220586,,144.9333813279089,177.57299841353313,115.64693269720223,,,,,,,,,,,,,,
20,UP,8.810961848783474,2482.2749999999996,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,129.84725510067443,177.17098979723343,,137.49684116908628,174.79562927698132,123.62253042552715,,,,,,,,,,,,,,
21,UP,11.719273575497255,1600.1100000000001,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,,,,138.9027850320591,,,,,,,,,,,,,,,,
22,UP,14.760886366834416,2339.585,b'stride0001',b'stride0002',b'stride0002',b'stride0002',189.40935990949268,268.5455492804566,192.35105041136413,64.11537896952086,,,,,,,,,,,,,,,,,,,,,132.30066008505315,140.6000310957597,,147.20457638257196,,85.1165774581414,,,,,,,,,,,,,,
23,UP,16.03608482035317,1356.165,b'stride0001',b'stride0002',b'stride0002',b'stance0002',189.40935990949268,268.5455492804566,192.35105041136413,,,,,,,,,,,,,,,,,,,,,,133.4403007271678,140.37125040656454,,159.49167569821992,,77.93684093743315,,,,,,,,,,,,,,
24,UP,14.833717003516526,1152.0,b'stride0001',b'stance0002',b'stride0002',b'stride0003',,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,,,24.380314107907765,,,,12.960606402830734,,,,-30.59409206756007,132.73852638361006,141.77525779750005,,178.08061343177638,,80.67301900473699,,,,,,,,,,,,,,
25,UP,15.104435989831508,1396.06,b'stride0001',b'stride0003',b'stride0002',b'stride0003',0.0,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,,,24.380314107907765,,,,12.960606402830734,,,,-30.59409206756007,149.9532821932963,143.012089862002,,175.93983549739656,128.3091494155168,81.75582901547025,,117.58740300354205,,,,,,,,,,,,
26,UP,15.212266474946539,1652.1,b'stride0001',b'stance0003',b'stride0002',b'stride0003',,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,,,24.380314107907765,,,,12.960606402830734,,,,-30.59409206756007,146.71616899429375,133.60205518133222,,176.54304610952786,129.51393779354737,70.6894802208044,,113.64924946314497,,,,,,,,,,,,
27,UP,14.06941532616495,1547.71,b'stride0001',b'stance0003',b'stride0002',b'stride0003',,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,,,24.380314107907765,,,,12.960606402830734,,,,-30.59409206756007,157.3847094465526,128.8890388245405,167.39017717029077,176.87546221211832,117.56045825873329,73.31390557819844,,124.49244656259401,,,,,,,,,,,,
28,UP,13.779378778655145,1492.795,b'stride0001',b'stance0003',b'stride0002',b'stride0003',,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,,,24.380314107907765,,,,12.960606402830734,,,,-30.59409206756007,153.60997154818114,132.6965478815461,160.84360766296123,172.9348671568185,88.02739511683028,86.06435234846371,,120.89558434932823,,,,,,,,,,,,
29,UP,12.58911014238971,981.4950000000001,b'stride0001',b'stance0003',b'stride0002',b'stride0003',,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,,,24.380314107907765,,,,12.960606402830734,,,,-30.59409206756007,151.57473049857947,120.48668175283672,172.02770242670388,176.26609473152888,96.32859950692388,82.71894952012438,,126.82047910142933,,,,,,,,,,,,
30,UP,10.770538647788147,1932.825,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,156.93986832773538,120.06490906927465,151.04199983143764,178.88177333945663,90.5024477100667,91.27971248302963,78.74150454938572,121.24634953736785,,,,,,,,,,,,
31,UP,8.566713342879753,845.4300000000001,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,157.0261511498103,114.97815069158212,142.89704368830948,161.60298090531828,100.28059197216989,93.4841277465019,74.96776642109643,126.73495879800812,,,,,,,,,,,,
32,UP,8.10137718448493,1495.65,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,156.97168851501252,127.37639031255313,132.67440819227755,165.15701377747465,104.408123691404,147.27133551807486,76.73260096505075,123.54060734222082,,,,,,,,,,,,
33,UP,5.4304999257995235,1098.99,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,159.74403535158444,127.40527433043528,132.0619987710781,173.8919772804222,113.22695800620559,144.20311582108548,84.07573875472299,124.61142086890446,,,,,,,,,,,,
34,UP,3.988314072138236,1611.2849999999999,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,151.3666060396797,129.7985738173071,141.85757219496375,169.83688061014516,99.95958761147861,157.676539992736,96.3414064473411,124.06386027538531,,,,,,,,,,,,
35,UP,1.416376493157152,1520.115,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,145.02916238205069,129.9510780400027,142.380342998735,164.40912031759916,94.30057410971902,169.31420523799983,102.6011562464624,127.56243868981426,,,,,,,,,,,,
36,UP,1.4304387572819723,1037.535,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,145.1313573138402,121.91630557529021,141.81332641686953,163.9544813282384,102.09170853909943,163.56651341543002,103.92421852540609,129.86580813286372,,,,,,,,,,,,
37,UP,2.7575199247715028,668.38,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,138.34887789141828,130.6606153083803,146.2842880476337,162.083376212537,95.61002318152326,165.2631626591215,90.72557724868743,119.7700062180281,,,,,,,,,,,,
38,UP,2.280878427011281,1254.42,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,144.4158763216749,138.0791017758798,142.37937483682722,163.49344688656547,91.13877942512129,176.16137806352458,81.63553318820007,105.29942368621946,,,,,,,,,,,,
39,UP,2.0086111897967256,596.94,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,147.94712632833506,140.9342381207481,129.36351630580572,172.43911623153562,93.66751322739518,176.36108045943908,82.42586292255938,92.37180970014529,,,,,,,,,,,,
40,UP,2.810011599632144,895.96,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,138.24988852165745,139.35293878513372,131.35503086368684,173.998509873385,105.29753830988717,167.54945685190478,82.24355015651577,,,,,,,,,,,,,
41,UP,2.7894922633319466,1031.295,b'stride0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,268.5455492804566,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,133.96756969866382,142.7207153349877,135.808419913708,157.7858946405054,99.51594795786765,166.68990885695135,82.78835022228589,82.1306017563781,,,,,,,,,,,,
42,UP,3.477139215081456,930.4449999999999,b'stance0001',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,141.7776334914824,145.915815204304,129.2760773596261,156.09272748701247,111.59924214572538,175.26390299708783,82.97112264994644,72.99470675147691,,,,,,,,,,,,
43,UP,3.21473745637151,1121.635,b'stride0002',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,0.0,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,144.14996382316062,151.0901611389807,131.8789530321621,147.98272527558166,114.25744309887742,155.4731128666988,83.14178420995314,77.18971624601855,,,,,,,,,,,,
44,UP,3.852654773902954,864.045,b'stance0002',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,152.9989297525031,164.68079121555877,130.35836882870709,146.7627560942595,120.53140528033043,162.64245596445585,87.05956468499,84.80686358266169,,,,,,,,,,,,
45,UP,4.707302180395617,918.11,b'stride0003',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,0.0,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,152.93244106173358,166.06595995411328,133.18723591493475,141.05797836416136,125.312015927615,143.85498121759093,89.42994132480499,91.57900199085854,,,,,,,,,,,,
46,UP,4.501614916435908,802.86,b'stance0003',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,155.51536180274587,170.69392126106433,135.84835595363649,146.39157143612448,136.35862185485132,138.32968164227475,93.24689880644537,100.86997905197357,,,,,,,,,,,,
47,UP,3.168569136523647,1128.0349999999999,b'stance0003',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,163.6018742199995,175.8993839048059,132.3662544180708,140.49100606743784,139.82702467672615,136.92883726077082,90.01408471322796,96.45306584250011,,,,,,,,,,,,
48,UP,2.6231904451933454,640.9000000000001,b'stride0004',b'stride0004',b'stride0002',b'stride0003',148.63931027107427,0.9246937244365082,192.35105041136413,178.0306748093,,,,,,,,,,57.521810773710456,,24.380314107907765,,14.77891828562747,,12.960606402830734,,28.29361238198618,,-30.59409206756007,158.29882833814813,175.12014518659487,126.11312720006535,138.51637130901923,129.2486576008554,144.227719890277,92.7177271462701,97.12418688574739,,,,,,,,,,,,
49,UP,2.2028597990243353,683.655,b'stride0004',b'stride0004',b'stride0002',b'stance0003',148.63931027107427,0.9246937244365082,192.35105041136413,,,,,,,,,,,57.521810773710456,,,,14.77891828562747,,,,28.29361238198618,,,158.10119012877544,177.47862845532916,128.83242652542054,137.13121280598813,141.66216034066818,141.76153922315154,93.83202508456333,93.43720457890802,,,,,,,,,,,,
50,UP,1.0158287473342074,417.83500000000004,b'stride0004',b'stride0004',b'stride0002',b'stride0004',148.63931027107427,0.9246937244365082,192.35105041136413,0.0,,,,,,,,,,57.521810773710456,,,,14.77891828562747,,,,28.29361238198618,,,158.89705142737358,178.71687226121153,128.86273818998933,143.02262658250558,143.65758742721744,133.79604773037858,93.11526741673309,97.62183296259418,,,,,,,,,,,,
51,UP,0.06917121054452689,585.54,b'stride0004',b'stride0004',b'stride0002',b'stance0004',148.63931027107427,0.9246937244365082,192.35105041136413,,,,,,,,,,,57.521810773710456,,,,14.77891828562747,,,,28.29361238198618,,,157.8117719213013,177.12583865939737,134.7387223837825,151.36458197798518,149.38056227757582,124.82744987860477,94.44956995210627,99.79416512788904,,,,,,,,,,,,
52,UP,0.5192461441805938,583.005,b'stance0004',b'stride0004',b'stride0002',b'stride0005',148.63931027107427,,192.35105041136413,0.0,,,,,,,,,,57.521810773710456,,,,14.77891828562747,,,,28.29361238198618,,,155.5958318107161,178.86667969907674,136.17576685745024,148.3660143856079,154.58350733694186,134.1891069044916,94.76475423250707,101.09955427532961,,,,,,,,,,,,
53,UP,1.5489450698220075,129.445,b'stance0004',b'stride0004',b'stride0002',b'stance0005',148.63931027107427,,192.35105041136413,,,,,,,,,,,57.521810773710456,,,,14.77891828562747,,,,28.29361238198618,,,159.42486279475375,168.50214275760484,136.71931838751192,145.18191086402703,152.3919379712252,127.27624920816692,90.74796092619981,100.41182400264839,,,,,,,,,,,,
54,UP,1.8716220263499874,503.12,b'stride0005',b'stride0004',b'stride0002',b'stride0006',148.63931027107427,0.0,192.35105041136413,1.4167254807033982,,,,,,,,,,57.521810773710456,,,,14.77891828562747,,,,28.29361238198618,,,151.62470987587488,167.83213412933162,141.0840521306219,148.44046165144755,149.10599985546187,120.23559174272154,91.2010246870139,103.23687533611236,,,,,,,,,,,,
55,UP,2.9683616859254283,302.52,b'stance0005',b'stride0004',b'stride0002',b'stride0006',148.63931027107427,,192.35105041136413,1.4167254807033982,,,,,,,,,,57.521810773710456,,,,14.77891828562747,,,,28.29361238198618,,,148.93099906918232,163.63061455249013,133.14821934871284,154.68262763671328,149.03249558642904,107.94854098293878,87.4793263241938,107.45051319622952,,,,,,,,,,,,
56,UP,3.316897053150665,384.74,b'stance0005',b'stance0004',b'stride0002',b'stance0006',,,192.35105041136413,,,,,,,,,74.94935908960865,,,,,,,,,,,,,150.292970907574,161.6709473023379,133.6283292525184,154.8366126371627,154.65309543564496,114.27383551611953,88.05947170291869,104.6137162408174,,,,,,,,,,38.3932853555494,4.839376265475483,20.21533648776953
57,UP,2.9530804309576277,187.49,b'stance0005',b'stance0004',b'stance0002',b'stance0006',,,,,,,,,,,,74.94935908960865,,,,,,,,,,,,,144.14442590686264,168.0866584620104,133.0337822533281,158.6668799244632,153.51464153243242,119.5900269989572,87.80084899559967,106.52501996771677,,,,,,,,,,38.3932853555494,4.839376265475483,20.21533648776953
58,UP,3.161074972675751,247.10500000000002,b'stance0005',b'stride0005',b'stride0003',b'stance0006',0.0,,1.1167364831502287,,,,,,,,,74.94935908960865,,,,,,,,,,,,,147.1002087820898,162.80390982312264,130.10668855726067,157.56613510117438,161.9148165965459,109.63647303076581,86.97175509625082,107.25763150064232,,,,,,,,,,38.3932853555494,4.839376265475483,20.21533648776953
59,UP,2.9238402317860372,323.355,b'stride0006',b'stance0005',b'stride0003',b'stance0006',,1.5195516202487904,1.1167364831502287,,,,,,,,,74.94935908960865,,,,,,,,,,,,,144.7171174447713,160.5122111241417,132.11011609269647,158.01404636067835,153.117087202123,107.88542368998914,86.21224375009811,104.64265609751789,,,,,,,,,,38.3932853555494,4.839376265475483,20.21533648776953
60,UP,2.2964858101376806,153.245,b'stride0006',b'stance0005',b'stance0003',b'stance0006',,1.5195516202487904,,,,,,,,,,74.94935908960865,,,,,,,,,,,,,143.44667737911692,158.3598244601079,134.3356588011036,161.4425828238604,156.13537048554699,107.06351112727009,91.05695049658428,105.92873788830447,,,,,,,,,,38.3932853555494,4.839376265475483,20.21533648776953
61,UP,1.9945288450063134,223.065,b'stride0006',b'stride0006',b'stance0003',b'stance0006',1.4198072956560928,1.5195516202487904,,,,,,,,,,74.94935908960865,,,,,,,,,,,,,143.605979864591,156.21657192710427,131.68409983790167,166.08529385427178,160.64041556424408,103.93894150973114,91.31636375732583,107.12901538676817,,,,,,,,,,38.3932853555494,4.839376265475483,20.21533648776953
62,UP,2.0551430093569167,136.45999999999998,b'stance0006',b'stride0006',b'stride0004',b'stride0007',1.4198072956560928,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,141.59261619970385,154.88596657933329,132.7407582026314,161.51517861087086,157.62591283391572,100.70616070072779,91.13968143346864,104.04283618798394,,,,,,,,,,,,
63,UP,1.8111870280102589,102.725,b'stride0007',b'stance0006',b'stance0004',b'stance0007',,18.575755310607025,,,,,,,,17.285937734043696,,,2.078087897111601,,,,3.0864235409504417,,,,60.91266945847599,,,,144.99793373069747,152.69941056735826,130.71985721270576,162.32102863805264,167.93516247945425,100.15434888490593,91.2663038486161,100.15420566086269,,,,41.080434182140976,29.662132362742224,20.989362009440395,,,,,,
64,UP,2.0166543960637093,214.425,b'stride0007',b'stance0006',b'stride0005',b'stance0007',,18.575755310607025,1.2096126215141638,,,,,,,17.285937734043696,,,2.078087897111601,,,,3.0864235409504417,,,,60.91266945847599,,,,141.4438293930685,153.64792072956408,130.58458516884656,161.22773145606152,167.15461484128207,100.00425662330245,90.70882058501898,96.93601858262872,,,,41.080434182140976,29.662132362742224,20.989362009440395,,,,,,
65,UP,1.8572585454857076,154.18,b'stride0007',b'stance0006',b'stride0005',b'stride0008',,18.575755310607025,1.2096126215141638,0.0,,,,,,17.285937734043696,,,2.078087897111601,,,,3.0864235409504417,,,,60.91266945847599,,,,144.77614123105946,155.33744903157728,129.07598601687823,155.07418679822894,168.33064140001014,102.08245501880249,89.17489343508939,96.72340990046968,,,,41.080434182140976,29.662132362742224,20.989362009440395,,,,,,
66,UP,1.7894348281319732,116.26,b'stride0007',b'stance0006',b'stance0005',b'stance0008',,18.575755310607025,,,,,,,,17.285937734043696,,,2.078087897111601,,,,3.0864235409504417,,,,60.91266945847599,,,,141.5879265305553,155.16489907368813,125.92148047184966,157.06610560340204,174.01372595250746,96.20629650691589,88.85006816475114,96.0432520018987,,,,41.080434182140976,29.662132362742224,20.989362009440395,,,,,,
67,UP,1.8592080748095843,54.285,b'stride0007',b'stance0006',b'stride0006',b'stride0009',,18.575755310607025,3.5853011475921295,1.1842509230867768,,,,,,17.285937734043696,,,2.078087897111601,,,,3.0864235409504417,,,,60.91266945847599,,,,143.66954011610648,157.30796586421786,127.84574233651509,156.56067398904014,172.07685766272093,95.51924743964442,88.13571175159188,94.73179869612777,,,,41.080434182140976,29.662132362742224,20.989362009440395,,,,,,
68,UP,1.9324592466952364,152.605,b'stride0007',b'stance0006',b'stride0006',b'stride0009',,18.575755310607025,3.5853011475921295,1.1842509230867768,,,,,,17.285937734043696,,,2.078087897111601,,,,3.0864235409504417,,,,60.91266945847599,,,,143.09771034296278,157.22452924387963,127.96470471184412,156.74553701906072,173.10266808330258,96.2065861571363,88.89090097753189,93.96913795535106,,,,41.080434182140976,29.662132362742224,20.989362009440395,,,,,,
